image,severity,coverage,usable,glare_method,specular_frac_true,annulus_n_px,annulus_true,annulus_est,annulus_err,annulus_rel_err,interior_n_px,interior_true,interior_est,interior_err,interior_rel_err,extrapolation_penalty
8,0.0,full,True,beamstop_surface,,24434.0,0.02627964066936156,0.029029152798126765,0.002749512128765206,0.10462517974877633,68177.0,0.01774453234988279,0.026085333091092643,0.008340800741209853,0.47004905943688885,0.3654238796881125
8,0.25,none,False,,,,,,,,,,,,,
8,0.5,partial,True,beamstop_surface,,17955.0,0.34043808792765584,0.4240171553036783,0.08357906737602244,0.24550445540565735,65904.0,0.23610601057313074,0.3891009410657478,0.15299493049261703,0.6479925272602446,0.40248807185458724
8,0.75,none,False,,,,,,,,,,,,,
8,1.0,partial,True,beamstop_constant,,10972.0,0.521441513224373,0.30672299447770707,-0.21471851874666598,-0.41177871976271657,70081.0,0.36396678921009074,0.30658340593905664,-0.057383383271034094,-0.15766104208455944,-0.25411767767815713
9,0.0,full,True,beamstop_surface,,21135.0,0.03431634683832418,0.040983012018758154,0.0066666651804339755,0.19427082992962133,67402.0,0.020242505176134892,0.0362651275473059,0.01602262237117101,0.7915335691780405,0.5972627392484192
9,0.25,partial,True,beamstop_surface,,19894.0,0.23757259708174827,0.15780775181305123,-0.07976484526869704,-0.3357493509289294,72164.0,0.19648679595645874,0.1378926679077187,-0.058594128048740035,-0.2982089853087351,-0.037540365620194305
9,0.5,full,True,beamstop_surface,,13484.0,0.4113241003264214,0.6812310330271655,0.26990693270074406,0.6561904164782697,73268.0,0.35515017399942705,0.5960014537980185,0.24085127979859144,0.6781674272781857,0.021977010799915986
9,0.75,partial,True,beamstop_surface,,11526.0,0.4182289233809394,0.5720798576764206,0.15385093429548113,0.3678629709580072,66530.0,0.31195288480618405,0.4068200934778261,0.09486720867164206,0.304107489599216,-0.06375548135879117
9,1.0,partial,True,beamstop_surface,,11044.0,0.6289455166828106,0.6277494270704596,-0.00119608961235107,-0.0019017380371188512,81147.0,0.7079072106641822,1.134459617841291,0.42655240717710874,0.6025541211494414,0.6006523831123225
